name,stars,forks,language,created_at,repo_age_days,stars_per_day,score
airflow,44732,16755,Python,2015-04-13 18:04:58+00:00,3995,11.194194194194194,31866.81941941942
freqtrade,47885,9992,Python,2017-05-17 23:48:53+00:00,3229,14.825077399380804,31730.082507739935
TensorFlow-Examples,43789,14787,Jupyter Notebook,2015-11-11 14:21:19+00:00,3783,11.572145877378436,30710.657214587733
Made-With-ML,46901,7360,Jupyter Notebook,2018-11-05 03:44:27+00:00,2693,17.409428359317,30350.34094283593
plane,46832,3772,TypeScript,2022-11-19 12:55:01+00:00,1218,38.418375717801474,29234.64183757178
ailearning,42134,11593,Python,2017-02-25 08:53:02+00:00,3311,12.721618357487923,28759.57216183575
TTS,44881,6006,Python,2020-05-20 15:45:28+00:00,2131,21.05112570356473,28732.505112570354
ruff,46574,1940,Rust,2022-08-09 17:17:44+00:00,1320,35.25662376987131,28529.925662376983
python-patterns,42802,7045,Python,2012-06-06 21:02:35+00:00,5035,8.499205718824465,27795.549920571884
full-stack-fastapi-template,42191,8244,TypeScript,2019-02-23 15:08:34+00:00,2583,16.32778637770898,27789.43277863777
pyenv,44461,3245,Shell,2012-08-31 06:57:52+00:00,4950,8.980206018986063,27650.998020601895
streamlit,43962,4151,Python,2019-08-24 00:14:52+00:00,2401,18.3022481265612,27624.330224812657
sentry,43417,4641,Python,2010-08-30 22:06:41+00:00,5681,7.641147483280535,27443.264114748326
ray,41828,7371,Python,2016-10-25 19:38:30+00:00,3434,12.177001455604076,27309.31770014556
mitmproxy,42751,4490,Python,2010-02-16 04:10:13+00:00,5877,7.273052058523307,26998.32730520585
gradio,42093,3341,Python,2018-12-19 08:24:04+00:00,2649,15.884150943396227,26259.688415094337
vnpy,38100,11155,Python,2015-03-02 03:36:58+00:00,4037,9.435364041604755,26207.44353640416
black,41440,2740,Python,2018-03-14 19:54:45+00:00,2929,14.143344709897612,25687.41433447099
qlib,39144,6097,Python,2020-08-14 06:46:00+00:00,2045,19.131964809384165,25317.413196480935
python-cheatsheet,38299,6736,Python,2018-01-25 04:16:53+00:00,2977,12.860644728005372,25001.486064472796
agno,38844,5146,Python,2022-05-04 15:23:02+00:00,1417,27.3935119887165,24852.939351198867
ChatTTS,38958,4227,Python,2024-05-27 18:26:49+00:00,663,58.67168674698795,24648.767168674698
sqlmap,36883,6223,Python,2012-06-26 09:52:15+00:00,5016,7.351604544548535,23997.435160454457
cli,37747,3831,Python,2012-02-25 12:39:13+00:00,5138,7.34520334695466,23798.234520334696
polars,37817,2699,Rust,2020-05-13 19:45:33+00:00,2138,17.679756895745676,23501.667975689576
Open-Assistant,37435,3306,Python,2022-12-13 05:24:17+00:00,1194,31.326359832635983,23455.932635983263
manim,37306,2734,Python,2020-05-19 02:37:13+00:00,2132,17.489920300046883,23205.548992030002
selenium,34159,8660,Java,2013-01-14 21:40:56+00:00,4813,7.095762359783963,23094.109576235976
supervision,36748,3147,Python,2022-11-28 14:08:44+00:00,1209,30.370247933884297,22995.937024793388
wtfpython,36908,2664,Python,2017-08-28 20:22:19+00:00,3127,11.79923273657289,22945.179923273656
learn-claude-code,35229,5657,TypeScript,2025-06-29 15:34:15+00:00,265,132.43984962406014,22847.743984962402
Data-Science-For-Beginners,34295,7015,Jupyter Notebook,2021-03-03 16:30:15+00:00,1844,18.588075880758808,22683.358807588076
erpnext,32380,10718,Python,2011-06-08 08:20:56+00:00,5400,5.995186076652471,22643.999518607667
numpy,31634,12182,Python,2010-09-13 23:02:39+00:00,5667,5.581157374735357,22635.55811573747
Sunshine,35455,1780,C++,2021-12-15 23:38:57+00:00,1556,22.7713551701991,21809.27713551702
langextract,34827,2336,Python,2025-07-08 20:46:06+00:00,255,136.04296875,21610.604296875
Hello-Python,34865,2263,Python,2022-08-03 17:14:53+00:00,1326,26.273549359457423,21600.527354935948
spaCy,33363,4659,Python,2014-07-03 15:15:40+00:00,4279,7.795093457943925,21416.279509345793
fairseq,32194,6676,Python,2017-08-29 16:26:12+00:00,3126,10.295490885833066,21320.22954908858
poetry,34321,2416,Python,2018-02-28 15:23:47+00:00,2943,11.657948369565217,21318.565794836955
textual,34955,1137,Python,2021-04-08 15:24:47+00:00,1808,19.322830292979546,21316.032283029297
certbot,32916,3495,Python,2014-11-12 02:52:20+00:00,4147,7.935390549662488,20798.893539054963
deer-flow,32457,3953,Python,2025-05-07 02:50:19+00:00,318,101.74608150470219,20670.274608150474
awesome-python-cn,30281,7976,Makefile,2015-11-03 09:50:50+00:00,3791,7.985495780590718,20562.198549578057
OCRmyPDF,33010,2291,Python,2013-12-20 08:26:28+00:00,4474,7.376536312849162,20494.037653631283
PDFMathTranslate,32387,2918,Python,2024-09-06 06:56:03+00:00,561,57.62811387900356,20313.362811387902
interactive-coding-challenges,31259,4640,Python,2015-04-28 21:36:39+00:00,3979,7.854020100502512,20148.185402010047
django-rest-framework,29933,7078,Python,2011-03-02 17:13:56+00:00,5498,5.443353336970358,20083.744335333697
posthog,32164,2421,Python,2020-01-23 22:46:58+00:00,2248,14.30146731880836,20026.130146731877
glances,32124,1703,Python,2011-12-04 08:49:15+00:00,5221,6.151666028341632,19785.915166602834
data-science-ipython-notebooks,28939,8024,Python,2015-01-23 19:38:29+00:00,4075,7.0998527968596665,19771.309985279684
Scrapling,31673,2512,Python,2024-10-13 20:29:53+00:00,524,60.329523809523806,19763.43295238095
jumpserver,30097,5681,Python,2014-07-04 03:54:59+00:00,4278,7.033652722598738,19763.20336527226
flink,25880,13901,Java,2014-06-07 07:00:10+00:00,4305,6.010218300046446,19698.901021830003
pytorch-lightning,30950,3692,Python,2019-03-31 00:45:57+00:00,2547,12.146781789638933,19678.814678178962
openai-python,30329,4650,Python,2020-10-25 23:23:54+00:00,1972,15.37202230106437,19593.937202230103
kitty,31978,1319,Python,2016-10-16 14:48:28+00:00,3443,9.28513356562137,19583.42851335656
PythonRobotics,28931,7240,Python,2016-03-21 09:34:43+00:00,3652,7.919791951820422,19531.39197919518
python-guide,29543,5903,Batchfile,2011-03-15 03:24:20+00:00,5485,5.385162231133795,19497.238516223115
handson-ml,25827,12846,Jupyter Notebook,2016-02-16 19:48:39+00:00,3686,7.004882017900733,19350.70048820179
python-telegram-bot,28959,6005,Python,2015-07-07 15:30:39+00:00,3910,7.404500127844541,19177.640450012783
